SKU,returns_7d,returns_30d,returns_90d,Return_Trend,High_Return_Risk
MN-01,0.0,9,26,9.0,False
MN-02,0.0,4,24,4.0,False
MN-03,1.0,4,13,3.0,False
MN-04,1.0,4,16,3.0,False
MN-09,0.0,2,11,2.0,False
MN-08,0.0,3,6,3.0,False
MN-10,2.0,9,19,7.0,False
MN-11,3.0,6,10,3.0,False
MN-12,4.0,13,24,9.0,False
MN-13,2.0,4,16,2.0,False
MN-14,23.0,79,145,56.0,True
MN-15,16.0,44,111,28.0,True
MN-16,2.0,10,31,8.0,True
MN-17,,2,15,,False
MN-18,6.0,18,53,12.0,True
MN-19,7.0,24,59,17.0,True
MN-20,8.0,22,81,14.0,True
MN-21,7.0,25,51,18.0,True
MN-22,8.0,21,45,13.0,True
MN-23,7.0,22,66,15.0,True
MN-24,0.0,8,43,8.0,True
MN-25,21.0,73,167,52.0,True
MN-26,12.0,30,119,18.0,True
MN-27,8.0,21,50,13.0,True
MN-28,11.0,45,137,34.0,True
MN-29,16.0,72,237,56.0,True
MN-30,1.0,8,33,7.0,True
MN-31,2.0,7,29,5.0,True
MN-32,11.0,16,28,5.0,False
MN-33,3.0,13,28,10.0,False
MN-34,6.0,14,44,8.0,True
MN-35,2.0,8,28,6.0,False
MN-36,6.0,36,96,30.0,True
MN-37,5.0,9,24,4.0,False
MN-38,1.0,21,67,20.0,True
MN-39,12.0,4,10,-8.0,False
MN-40,9.0,38,98,29.0,True
MN-41,7.0,12,57,5.0,True
MN-42,5.0,28,83,23.0,True
MN-43,3.0,5,16,2.0,False
MN-44,2.0,7,17,5.0,False
MN-48,1.0,1,7,0.0,False
MN-49,1.0,7,27,6.0,False
MN-45,1.0,3,15,2.0,False
MN-46,1.0,3,11,2.0,False
MN-47,1.0,10,17,9.0,False
MN-50,0.0,10,25,10.0,False
MN-07,1.0,4,15,3.0,False
MN-05,2.0,4,6,2.0,False
MN-06,1.0,2,3,1.0,False
